Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
637,1033.8,3.2269,1056.1,-3.7396e-05,0
638,1034,3.2268,1056.1,-3.6833e-05,4.5054e-05
639,1034.1,3.2268,1056.1,-3.6264e-05,8.9699e-05
640,1034.3,3.2268,1056.1,-3.5688e-05,0.00013394
641,1034.5,3.2267,1056.1,-3.5105e-05,0.00017778
642,1034.7,3.2267,1056.1,-3.4515e-05,0.00022122
643,1034.8,3.2267,1056.1,-3.3919e-05,0.00026426
644,1035,3.2266,1056.1,-3.3316e-05,0.00030691
645,1035.2,3.2266,1056,-3.2706e-05,0.00034918
646,1035.3,3.2266,1056,-3.2089e-05,0.00039105
647,1035.5,3.2265,1056,-3.1465e-05,0.00043255
648,1035.6,3.2265,1056,-3.0834e-05,0.00047367
649,1035.8,3.2265,1056,-3.0196e-05,0.00051441
650,1035.9,3.2264,1056,-2.955e-05,0.00055478
651,1036.1,3.2264,1056,-2.8898e-05,0.00059478
652,1036.2,3.2264,1056,-2.8238e-05,0.00063441
653,1036.4,3.2264,1056,-2.7571e-05,0.00067369
654,1036.5,3.2263,1056,-2.6897e-05,0.0007126
655,1036.7,3.2263,1055.9,-2.6215e-05,0.00075115
656,1036.8,3.2263,1055.9,-2.5526e-05,0.00078935
657,1037,3.2263,1055.9,-2.483e-05,0.0008272
658,1037.1,3.2262,1055.9,-2.4126e-05,0.00086471
659,1037.2,3.2262,1055.9,-2.3414e-05,0.00090186
660,1037.4,3.2262,1055.9,-2.2695e-05,0.00093868
661,1037.5,3.2262,1055.9,-2.1967e-05,0.00097516
662,1037.6,3.2261,1055.9,-2.1233e-05,0.0010113
663,1037.8,3.2261,1055.9,-2.049e-05,0.0010471
664,1037.9,3.2261,1055.9,-1.974e-05,0.0010826
665,1038,3.2261,1055.9,-1.8982e-05,0.0011177
666,1038.2,3.2261,1055.9,-1.8215e-05,0.0011526
667,1038.3,3.2261,1055.9,-1.7441e-05,0.0011871
668,1038.4,3.226,1055.9,-1.6659e-05,0.0012213
669,1038.5,3.226,1055.9,-1.5869e-05,0.0012551
670,1038.6,3.226,1055.9,-1.507e-05,0.0012887
671,1038.8,3.226,1055.9,-1.4264e-05,0.0013219
