Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
892,1033.8,3.2718,1060.1,3.4243e-05,0
893,1034,3.2718,1060.1,3.5346e-05,4.5054e-05
894,1034.1,3.2718,1060.2,3.6458e-05,8.9699e-05
895,1034.3,3.2719,1060.2,3.7577e-05,0.00013394
896,1034.5,3.2719,1060.2,3.8703e-05,0.00017778
897,1034.7,3.272,1060.3,3.9838e-05,0.00022122
898,1034.8,3.272,1060.3,4.098e-05,0.00026426
899,1035,3.272,1060.3,4.2131e-05,0.00030691
900,1035.2,3.2721,1060.4,4.3289e-05,0.00034918
901,1035.3,3.2721,1060.4,4.4455e-05,0.00039105
902,1035.5,3.2722,1060.4,4.5629e-05,0.00043255
903,1035.6,3.2722,1060.5,4.681e-05,0.00047367
904,1035.8,3.2723,1060.5,4.8e-05,0.00051441
905,1035.9,3.2723,1060.5,4.9198e-05,0.00055478
906,1036.1,3.2724,1060.6,5.0403e-05,0.00059478
907,1036.2,3.2724,1060.6,5.1617e-05,0.00063441
908,1036.4,3.2725,1060.7,5.2839e-05,0.00067369
909,1036.5,3.2725,1060.7,5.4068e-05,0.0007126
910,1036.7,3.2726,1060.7,5.5306e-05,0.00075115
911,1036.8,3.2727,1060.8,5.6552e-05,0.00078935
912,1037,3.2727,1060.8,5.7805e-05,0.0008272
913,1037.1,3.2728,1060.9,5.9067e-05,0.00086471
914,1037.2,3.2728,1060.9,6.0337e-05,0.00090186
915,1037.4,3.2729,1061,6.1615e-05,0.00093868
916,1037.5,3.273,1061,6.2901e-05,0.00097516
917,1037.6,3.273,1061.1,6.4195e-05,0.0010113
918,1037.8,3.2731,1061.1,6.5498e-05,0.0010471
919,1037.9,3.2732,1061.2,6.6808e-05,0.0010826
920,1038,3.2732,1061.2,6.8127e-05,0.0011177
921,1038.2,3.2733,1061.3,6.9454e-05,0.0011526
922,1038.3,3.2734,1061.3,7.0789e-05,0.0011871
923,1038.4,3.2735,1061.4,7.2132e-05,0.0012213
924,1038.5,3.2735,1061.4,7.3483e-05,0.0012551
925,1038.6,3.2736,1061.5,7.4843e-05,0.0012887
926,1038.8,3.2737,1061.5,7.6211e-05,0.0013219
927,1038.9,3.2738,1061.6,7.7587e-05,0.0013549
928,1039,3.2738,1061.6,7.8971e-05,0.0013875
929,1039.1,3.2739,1061.7,8.0363e-05,0.0014198
930,1039.2,3.274,1061.7,8.1764e-05,0.0014519
931,1039.3,3.2741,1061.8,8.3173e-05,0.0014836
932,1039.4,3.2742,1061.9,8.4591e-05,0.001515
933,1039.5,3.2743,1061.9,8.6016e-05,0.0015462
934,1039.6,3.2744,1062,8.745e-05,0.001577
935,1039.7,3.2744,1062,8.8892e-05,0.0016076
936,1039.8,3.2745,1062.1,9.0343e-05,0.0016379
937,1039.9,3.2746,1062.2,9.1801e-05,0.0016679
938,1040,3.2747,1062.2,9.3268e-05,0.0016976
939,1040.1,3.2748,1062.3,9.4744e-05,0.0017271
940,1040.2,3.2749,1062.4,9.6227e-05,0.0017562
941,1040.3,3.275,1062.4,9.7719e-05,0.0017851
942,1040.4,3.2751,1062.5,9.9219e-05,0.0018138
943,1040.5,3.2752,1062.6,0.00010073,0.0018421
944,1040.6,3.2753,1062.6,0.00010224,0.0018702
945,1040.7,3.2754,1062.7,0.00010377,0.0018981
946,1040.8,3.2755,1062.8,0.0001053,0.0019256
947,1040.9,3.2756,1062.8,0.00010685,0.001953
948,1041,3.2758,1062.9,0.0001084,0.00198
949,1041.1,3.2759,1063,0.00010995,0.0020068
